X,Y,Z,azimuth,dip,polarity,formation
213147.2,386374.1,1681.25,270,65,1,Viersen_Fault
203610,379150,1879.86,90,0,1,Base_Tertiary
203010,373670,1200.1,90,0,1,Top_Dinantian
204000,394000,908.2,90,0,1,Base_Dinantian
200710,382530,439.8,90,0,1,Top_Devonian
